data,estrangeiro,institucional,pessoa_fisica,inst_financeira,outros
2025-07-14,-904.94,769.6,209.62,257.04,-331.32
2025-07-15,-1074.34,672.35,207.3,148.93,45.75
2025-07-16,-662.05,632.68,50.58,-59.17,37.96
2025-07-17,-883.81,885.96,-46.17,15.65,28.35
2025-07-18,-868.04,323.27,285.53,208.16,51.08
2025-07-21,551.42,-328.3,-341.85,98.05,20.67
2025-07-22,335.53,-355.29,21.63,-25.4,23.53
2025-07-23,169.63,269.99,-458.63,-35.34,54.35
2025-07-24,-483.16,76.49,260.51,123.33,22.82
2025-07-25,-366.62,226.17,-28.85,143.3,26.0
2025-07-28,-86.78,-76.15,11.52,164.56,-13.15
2025-07-29,-217.65,-27.31,-155.1,385.75,14.32
2025-07-30,-306.54,11.88,-84.78,351.45,27.98
2025-07-31,-86.03,-523.0,387.34,141.51,80.19
2025-08-01,-753.45,630.09,478.89,-377.74,22.21
2025-08-04,319.54,-506.85,82.51,78.47,26.33
2025-08-05,-275.79,260.67,-23.88,10.9,28.09
2025-08-06,-811.71,966.75,-180.32,1.14,24.15
2025-08-07,-148.87,183.82,-184.76,100.83,48.97
2025-08-08,-468.12,364.25,245.38,-244.26,102.75
2025-08-11,642.79,-690.05,143.16,-207.07,111.16
2025-08-12,724.43,-478.27,-291.78,-9.5,55.12
2025-08-13,1046.53,-1476.49,235.65,98.16,96.15
2025-08-14,114.03,-149.18,95.18,-136.94,76.91
2025-08-15,-536.89,-64.14,-283.91,846.05,38.89
2025-08-18,-213.04,233.05,-147.16,61.41,65.74
2025-08-19,13.09,-724.86,518.75,475.42,-282.39
2025-08-20,-558.15,355.02,3.0,195.45,4.68
2025-08-21,-42.69,37.48,49.44,-99.73,55.49
2025-08-22,965.87,-107.19,-865.4,34.74,-28.03
2025-08-25,94.61,-55.04,-8.16,23.01,-54.42
2025-08-26,299.04,-493.87,76.47,75.16,43.18
2025-08-27,-430.18,726.31,-313.74,67.73,-50.12
2025-08-28,-279.17,1025.6,-780.82,55.21,-20.82
2025-08-29,1466.42,-1317.49,-209.57,-16.24,76.88
2025-09-01,9.65,-155.31,59.57,54.09,31.99
2025-09-02,-182.02,-8.03,94.48,57.21,38.37
2025-09-03,-470.69,188.19,298.18,-40.37,24.69
2025-09-04,-463.67,819.57,-216.99,-154.96,16.05
2025-09-05,-425.51,901.05,-362.23,-71.2,-42.11
2025-09-08,312.43,-399.44,205.5,-202.49,84.0
2025-09-09,-279.85,406.39,-35.58,-170.38,79.42
2025-09-10,479.38,-505.31,-21.47,2.32,45.08
2025-09-11,869.92,-5643.18,-457.85,-1.48,5232.59
2025-09-12,239.78,-596.61,226.11,96.33,34.38
2025-09-15,69.87,91.74,40.49,-234.16,32.05
2025-09-16,1293.44,-1390.9,-59.38,148.16,8.68
2025-09-17,187.95,175.77,-261.42,-66.07,-36.23
2025-09-18,276.36,-449.21,95.61,66.84,10.4
2025-09-19,-35.59,579.72,-806.27,284.95,-22.81
2025-09-22,801.55,-812.49,344.09,-316.42,-16.74
2025-09-23,1138.0,-61.22,-83.12,-972.41,-21.25
2025-09-24,551.58,-706.73,82.82,33.21,39.12
2025-09-25,408.96,-868.03,395.67,-44.04,107.44
2025-09-26,8.35,-255.56,170.27,55.26,21.69
2025-09-29,314.74,-222.25,82.04,-171.81,-2.72
2025-09-30,162.46,-302.76,90.62,-38.96,88.64
2025-10-01,-244.96,-17.08,98.08,95.59,68.37
2025-10-02,-670.98,133.4,454.15,38.38,45.06
2025-10-03,-355.62,103.06,79.63,156.66,16.27
2025-10-06,-618.16,333.61,227.92,14.86,41.77
2025-10-07,-1038.56,370.59,584.68,26.94,56.35
2025-10-08,-1184.48,906.58,118.56,117.1,42.25
2025-10-09,-856.47,628.49,235.96,-33.15,25.18
2025-10-10,-1975.62,987.87,327.8,584.19,75.77
2025-10-13,106.17,-161.35,-143.79,117.12,81.84
2025-10-14,-482.61,410.39,-22.37,61.83,32.76
2025-10-15,562.93,-756.29,97.27,78.22,17.87
2025-10-16,1346.23,-1315.11,278.04,-344.01,34.85
2025-10-17,-846.84,1722.2,-174.7,-690.75,-9.91
2025-10-20,-242.49,265.89,-193.74,168.33,2.0
2025-10-21,-301.42,111.54,196.3,-55.68,49.26
2025-10-22,-427.12,293.38,-68.78,169.19,33.34
2025-10-23,3508.86,-3230.93,-384.44,107.99,-1.48
2025-10-24,439.57,-644.46,-45.09,214.48,35.5
2025-10-27,495.88,-208.74,-245.64,-27.36,-14.14
2025-10-28,665.85,-184.7,-202.97,-248.47,-29.71
2025-10-29,756.5,-144.53,-227.92,-375.24,-8.81
2025-10-30,-389.47,376.37,-109.0,138.69,-16.59
2025-10-31,526.37,305.14,-121.79,-694.25,-15.46
2025-11-03,-714.96,972.53,-220.63,-49.04,12.1
2025-11-04,-1035.29,-4090.75,-149.6,285.3,4990.35
2025-11-05,396.71,365.63,-822.36,49.33,10.7
2025-11-06,-113.75,-186.83,59.94,322.19,-81.56
2025-11-07,476.01,-105.51,-540.28,-267.96,437.75
2025-11-10,561.81,-514.93,-412.31,325.36,40.08
2025-11-11,1479.25,-655.55,-1038.11,201.33,13.07
2025-11-12,786.34,-911.93,-142.73,122.97,145.34
2025-11-13,762.83,-1808.05,354.36,216.43,474.43
2025-11-14,1434.19,-1009.84,-143.23,-441.3,160.18
2025-11-17,715.13,-1039.33,79.26,137.44,107.51
2025-11-18,1234.94,-1619.98,-5.22,293.23,97.04
2025-11-19,1354.63,-1631.13,116.05,83.74,76.72
2025-11-21,-3158.55,2938.72,-734.43,904.71,49.56
2025-11-24,-750.69,386.58,339.33,-20.78,45.56
2025-11-25,-516.46,358.48,59.8,40.49,57.69
2025-11-26,-76.23,445.13,-478.9,81.47,28.52
2025-11-27,-279.4,192.45,150.68,-30.94,-32.79
2025-11-28,-495.67,-826.83,42.28,1109.63,170.58
2025-12-01,-76.92,-915.74,125.1,747.88,119.69
2025-12-02,388.22,-247.45,-358.35,196.1,21.48
2025-12-03,-171.96,388.46,-77.52,50.94,-189.92
2025-12-04,149.97,39.37,-361.18,90.63,81.2
2025-12-05,-2018.74,637.54,1121.05,80.47,179.67
2025-12-08,666.87,-1411.15,473.06,239.64,31.57
2025-12-09,-1318.08,865.31,292.61,84.47,75.69
2025-12-10,122.51,-37.15,143.22,-242.47,13.9
2025-12-11,-916.97,243.88,262.92,434.89,-24.73
2025-12-12,690.53,-483.63,-79.12,-96.24,-31.54
2025-12-15,-635.14,1271.51,6.93,866.67,-1509.97
2025-12-16,1469.09,-789.85,816.47,-1512.06,16.36
2025-12-17,-330.07,-159.3,341.48,36.41,111.48
2025-12-18,1528.73,-586.06,138.0,-1292.72,212.05
2025-12-19,-768.85,3114.57,-360.17,-2009.86,24.32
2025-12-22,803.4,100.5,441.32,-92.18,-1253.04
2025-12-23,-122.87,651.37,166.77,-621.54,-73.73
2025-12-26,149.88,-733.03,357.89,296.24,-70.97
2025-12-29,-1436.15,949.7,333.5,200.31,-47.36
2025-12-30,-46.93,-7.35,77.36,-13.62,-9.46
2026-01-02,-917.52,340.08,491.88,74.77,10.78
2026-01-05,-212.35,36.07,-19.27,231.66,-36.1
2026-01-06,457.12,-386.65,135.08,-174.85,-30.7
2026-01-07,1242.28,-391.17,424.89,-1131.59,-144.42
2026-01-08,180.08,137.26,120.89,-87.58,-350.64
2026-01-09,624.19,1607.15,-294.69,-1953.18,16.53
2026-01-12,648.66,-460.8,140.44,-491.89,163.6
2026-01-13,960.31,-1320.39,411.76,-320.07,268.38
2026-01-14,1646.06,-606.27,-501.92,-545.25,7.38
2026-01-15,585.08,-1124.5,-61.38,545.68,55.12
2026-01-16,2115.42,-1214.53,-425.04,-477.62,1.78
2026-01-19,314.36,-156.01,282.82,-251.95,-189.21
2026-01-20,1123.23,-1061.6,20.52,-77.64,-4.52
2026-01-21,3583.55,-1995.97,-1482.99,-61.85,-42.73
2026-01-22,3406.92,-2283.57,-1014.92,5.0,-113.44
2026-01-23,1970.92,-914.32,-890.82,-73.14,-92.64
2026-01-26,2472.11,-2640.15,158.65,112.5,-103.12
2026-01-27,1524.71,-1209.16,-484.74,197.03,-27.84
2026-01-28,1336.7,-691.46,-680.84,-49.45,85.06
2026-01-29,2258.14,-2330.13,163.85,-82.75,-9.11
2026-01-30,993.64,-872.04,-65.64,-74.18,18.23
2026-02-02,1593.12,-1638.05,-219.01,260.66,3.27
2026-02-03,514.7,554.47,-801.78,-133.32,-134.07
2026-02-04,761.19,-1615.77,717.42,165.14,-27.98
2026-02-05,74.16,-1121.79,133.16,940.18,-25.7
2026-02-06,41.33,-701.38,81.43,590.23,-11.61
2026-02-09,1214.38,-972.93,-560.43,374.76,-55.78
2026-02-10,573.45,-1667.67,70.15,1064.2,-40.12
2026-02-11,2434.22,-1652.06,-1141.53,463.25,-103.88
2026-02-12,1152.95,-799.39,415.38,-842.41,73.47
2026-02-13,397.18,552.58,285.09,-1274.62,39.76
2026-02-18,-693.26,619.85,159.82,-62.06,-24.34
2026-02-19,2228.09,-1390.71,-412.81,-356.32,-68.25
2026-02-20,-1022.25,4306.48,-2512.62,-334.74,-436.87
2026-02-23,3016.46,-3226.95,677.09,-438.48,-28.13
2026-02-24,2132.95,-1892.31,-348.17,567.41,-459.88
2026-02-25,847.86,-1180.28,269.88,140.19,-77.65
2026-02-26,825.73,-1540.88,186.47,409.37,119.31
2026-02-27,-696.51,578.31,265.88,115.81,-263.49
2026-03-02,712.76,-228.21,-154.51,-170.35,-159.69
2026-03-03,-390.85,-522.27,904.41,-44.4,53.11
2026-03-04,692.82,-622.32,38.56,-85.57,-23.5
2026-03-05,-606.47,77.57,660.55,-176.42,44.77
2026-03-06,373.0,-85.09,-119.23,-1218.12,1049.44
