data,estrangeiro,institucional,pessoa_fisica,inst_financeira,outros,ibov_fechamento_x,z_score_estrangeiro,ibov_fechamento_y,ibov_fechamento
2025-06-09,-273.16,-15.13,177.37,34.17,76.76,135699.0,,135699.0,135699.0
2025-06-10,734.43,-1034.03,21.5,17.48,260.62,136436.0,,136436.0,136436.0
2025-06-11,-568.1,350.11,55.93,57.78,104.28,137128.0,,137128.0,137128.0
2025-06-12,70.32,-280.01,-70.11,251.82,27.98,137800.0,,137800.0,137800.0
2025-06-13,-12.51,-274.36,179.51,-21.6,128.95,137213.0,,137213.0,137213.0
2025-06-16,1556.78,-908.51,-425.33,-279.65,56.7,139256.0,,139256.0,139256.0
2025-06-17,-110.45,-613.05,310.45,331.09,81.95,138840.0,,138840.0,138840.0
2025-06-18,789.84,-1275.21,165.99,217.62,101.75,138717.0,,138717.0,138717.0
2025-06-20,-1069.44,744.09,275.61,24.31,25.43,137116.0,,137116.0,137116.0
2025-06-23,288.61,-563.83,157.6,50.91,66.7,136551.0,,136551.0,136551.0
2025-06-24,1005.53,-750.67,-1.3,-242.9,-10.66,137165.0,,137165.0,137165.0
2025-06-25,-299.93,131.65,275.54,-186.8,79.54,135767.0,,135767.0,135767.0
2025-06-26,131.95,465.44,-244.79,-383.65,31.05,137114.0,,137114.0,137114.0
2025-06-27,466.53,-668.44,246.65,-71.8,27.06,136866.0,,136866.0,136866.0
2025-06-30,688.36,-513.15,-275.73,37.52,63.0,138855.0,,138855.0,138855.0
2025-07-01,-94.96,15.91,48.69,4.84,25.52,139549.0,,139549.0,139549.0
2025-07-02,514.08,-638.33,129.27,-42.08,37.06,139051.0,,139051.0,139051.0
2025-07-03,655.75,-186.69,-391.01,-60.41,-17.63,140928.0,,140928.0,140928.0
2025-07-04,165.33,-163.23,-23.39,25.07,-3.8,141478.0,,141478.0,141478.0
2025-07-07,118.34,-1775.17,414.17,706.72,535.93,139490.0,,139490.0,139490.0
2025-07-08,-335.22,-123.52,179.36,146.34,133.04,139303.0,,139303.0,139303.0
2025-07-09,-654.69,-815.56,398.46,1544.59,-472.81,137481.0,,137481.0,137481.0
2025-07-10,-939.56,240.51,-160.71,728.33,131.44,136743.0,,136743.0,136743.0
2025-07-11,-917.68,368.21,138.64,375.2,35.63,136187.0,,136187.0,136187.0
2025-07-14,-904.94,769.6,209.62,257.04,-331.32,135299.0,,135299.0,135299.0
2025-07-15,-1074.34,672.35,207.3,148.93,45.75,135250.0,,135250.0,135250.0
2025-07-16,-662.05,632.68,50.58,-59.17,37.96,135511.0,,135511.0,135511.0
2025-07-17,-883.81,885.96,-46.17,15.65,28.35,135565.0,,135565.0,135565.0
2025-07-18,-868.04,323.27,285.53,208.16,51.08,133382.0,,133382.0,133382.0
2025-07-21,551.42,-328.3,-341.85,98.05,20.67,134167.0,,134167.0,134167.0
2025-07-22,335.53,-355.29,21.63,-25.4,23.53,134036.0,,134036.0,134036.0
2025-07-23,169.63,269.99,-458.63,-35.34,54.35,135368.0,,135368.0,135368.0
2025-07-24,-483.16,76.49,260.51,123.33,22.82,133808.0,,133808.0,133808.0
2025-07-25,-366.62,226.17,-28.85,143.3,26.0,133524.0,,133524.0,133524.0
2025-07-28,-86.78,-76.15,11.52,164.56,-13.15,132129.0,,132129.0,132129.0
2025-07-29,-217.65,-27.31,-155.1,385.75,14.32,132726.0,,132726.0,132726.0
2025-07-30,-306.54,11.88,-84.78,351.45,27.98,133990.0,,133990.0,133990.0
2025-07-31,-86.03,-523.0,387.34,141.51,80.19,133071.0,,133071.0,133071.0
2025-08-01,-753.45,630.09,478.89,-377.74,22.21,132437.0,,132437.0,132437.0
2025-08-04,319.54,-506.85,82.51,78.47,26.33,132971.0,,132971.0,132971.0
2025-08-05,-275.79,260.67,-23.88,10.9,28.09,133151.0,,133151.0,133151.0
2025-08-06,-811.71,966.75,-180.32,1.14,24.15,134538.0,,134538.0,134538.0
2025-08-07,-148.87,183.82,-184.76,100.83,48.97,136528.0,,136528.0,136528.0
2025-08-08,-468.12,364.25,245.38,-244.26,102.75,135913.0,,135913.0,135913.0
2025-08-11,642.79,-690.05,143.16,-207.07,111.16,135623.0,,135623.0,135623.0
2025-08-12,724.43,-478.27,-291.78,-9.5,55.12,137914.0,,137914.0,137914.0
2025-08-13,1046.53,-1476.49,235.65,98.16,96.15,136687.0,,136687.0,136687.0
2025-08-14,114.03,-149.18,95.18,-136.94,76.91,136356.0,,136356.0,136356.0
2025-08-15,-536.89,-64.14,-283.91,846.05,38.89,136341.0,,136341.0,136341.0
2025-08-18,-213.04,233.05,-147.16,61.41,65.74,137322.0,,137322.0,137322.0
2025-08-19,13.09,-724.86,518.75,475.42,-282.39,134432.0,,134432.0,134432.0
2025-08-20,-558.15,355.02,3.0,195.45,4.68,134667.0,,134667.0,134667.0
2025-08-21,-42.69,37.48,49.44,-99.73,55.49,134511.0,,134511.0,134511.0
2025-08-22,965.87,-107.19,-865.4,34.74,-28.03,137968.0,,137968.0,137968.0
2025-08-25,94.61,-55.04,-8.16,23.01,-54.42,138025.0,,138025.0,138025.0
2025-08-26,299.04,-493.87,76.47,75.16,43.18,137771.0,,137771.0,137771.0
2025-08-27,-430.18,726.31,-313.74,67.73,-50.12,139206.0,,139206.0,139206.0
2025-08-28,-279.17,1025.6,-780.82,55.21,-20.82,141049.0,,141049.0,141049.0
2025-08-29,1466.42,-1317.49,-209.57,-16.24,76.88,141422.0,,141422.0,141422.0
2025-09-01,9.65,-155.31,59.57,54.09,31.99,141125.0,,141125.0,141125.0
2025-09-02,-182.02,-8.03,94.48,57.21,38.37,140335.0,,140335.0,140335.0
2025-09-03,-470.69,188.19,298.18,-40.37,24.69,139864.0,,139864.0,139864.0
2025-09-04,-463.67,819.57,-216.99,-154.96,16.05,140993.0,,140993.0,140993.0
2025-09-05,-425.51,901.05,-362.23,-71.2,-42.11,142640.0,,142640.0,142640.0
2025-09-08,312.43,-399.44,205.5,-202.49,84.0,141792.0,,141792.0,141792.0
2025-09-09,-279.85,406.39,-35.58,-170.38,79.42,141618.0,,141618.0,141618.0
2025-09-10,479.38,-505.31,-21.47,2.32,45.08,142349.0,,142349.0,142349.0
2025-09-11,869.92,-5643.18,-457.85,-1.48,5232.59,143151.0,,143151.0,143151.0
2025-09-12,239.78,-596.61,226.11,96.33,34.38,142272.0,,142272.0,142272.0
2025-09-15,69.87,91.74,40.49,-234.16,32.05,143547.0,,143547.0,143547.0
2025-09-16,1293.44,-1390.9,-59.38,148.16,8.68,144062.0,,144062.0,144062.0
2025-09-17,187.95,175.77,-261.42,-66.07,-36.23,145594.0,,145594.0,145594.0
2025-09-18,276.36,-449.21,95.61,66.84,10.4,145500.0,,145500.0,145500.0
2025-09-19,-35.59,579.72,-806.27,284.95,-22.81,145865.0,,145865.0,145865.0
2025-09-22,801.55,-812.49,344.09,-316.42,-16.74,145109.0,,145109.0,145109.0
2025-09-23,1138.0,-61.22,-83.12,-972.41,-21.25,146425.0,,146425.0,146425.0
2025-09-24,551.58,-706.73,82.82,33.21,39.12,146492.0,,146492.0,146492.0
2025-09-25,408.96,-868.03,395.67,-44.04,107.44,145306.0,,145306.0,145306.0
2025-09-26,8.35,-255.56,170.27,55.26,21.69,145447.0,,145447.0,145447.0
2025-09-29,314.74,-222.25,82.04,-171.81,-2.72,146337.0,,146337.0,146337.0
2025-09-30,162.46,-302.76,90.62,-38.96,88.64,146237.0,,146237.0,146237.0
2025-10-01,-244.96,-17.08,98.08,95.59,68.37,145517.0,,145517.0,145517.0
2025-10-02,-670.98,133.4,454.15,38.38,45.06,143950.0,,143950.0,143950.0
2025-10-03,-355.62,103.06,79.63,156.66,16.27,144201.0,,144201.0,144201.0
2025-10-06,-618.16,333.61,227.92,14.86,41.77,143608.0,,143608.0,143608.0
2025-10-07,-1038.56,370.59,584.68,26.94,56.35,141356.0,,141356.0,141356.0
2025-10-08,-1184.48,906.58,118.56,117.1,42.25,142145.0,,142145.0,142145.0
2025-10-09,-856.47,628.49,235.96,-33.15,25.18,141708.0,,141708.0,141708.0
2025-10-10,-1975.62,987.87,327.8,584.19,75.77,140680.0,,140680.0,140680.0
2025-10-13,106.17,-161.35,-143.79,117.12,81.84,141783.0,0.22,141783.0,141783.0
2025-10-14,-482.61,410.39,-22.37,61.83,32.76,141683.0,-0.69,141683.0,141683.0
2025-10-15,562.93,-756.29,97.27,78.22,17.87,142604.0,0.94,142604.0,142604.0
2025-10-16,1346.23,-1315.11,278.04,-344.01,34.85,142200.0,2.08,142200.0,142200.0
2025-10-17,-846.84,1722.2,-174.7,-690.75,-9.91,143399.0,-1.23,143399.0,143399.0
2025-10-20,-242.49,265.89,-193.74,168.33,2.0,144509.0,-0.32,144509.0,144509.0
2025-10-21,-301.42,111.54,196.3,-55.68,49.26,144085.0,-0.39,144085.0,144085.0
2025-10-22,-427.12,293.38,-68.78,169.19,33.34,144873.0,-0.57,144873.0,144873.0
2025-10-23,3508.86,-3230.93,-384.44,107.99,-1.48,145721.0,4.78,145721.0,145721.0
2025-10-24,439.57,-644.46,-45.09,214.48,35.5,146172.0,0.61,146172.0,146172.0
2025-10-27,495.88,-208.74,-245.64,-27.36,-14.14,146969.0,0.69,146969.0,146969.0
2025-10-28,665.85,-184.7,-202.97,-248.47,-29.71,147429.0,0.93,147429.0,147429.0
2025-10-29,756.5,-144.53,-227.92,-375.24,-8.81,148633.0,1.03,148633.0,148633.0
2025-10-30,-389.47,376.37,-109.0,138.69,-16.59,148780.0,-0.52,148780.0,148780.0
2025-10-31,526.37,305.14,-121.79,-694.25,-15.46,149540.0,0.72,149540.0,149540.0
2025-11-03,-714.96,972.53,-220.63,-49.04,12.1,150454.0,-0.94,150454.0,150454.0
2025-11-04,-1035.29,-4090.75,-149.6,285.3,4990.35,150704.0,-1.35,150704.0,150704.0
2025-11-05,396.71,365.63,-822.36,49.33,10.7,153294.0,0.58,153294.0,153294.0
2025-11-06,-113.75,-186.83,59.94,322.19,-81.56,153339.0,-0.1,153339.0,153339.0
2025-11-07,476.01,-105.51,-540.28,-267.96,437.75,154064.0,0.69,154064.0,154064.0
2025-11-10,561.81,-514.93,-412.31,325.36,40.08,155257.0,0.8,155257.0,155257.0
2025-11-11,1479.25,-655.55,-1038.11,201.33,13.07,157749.0,1.97,157749.0,157749.0
2025-11-12,786.34,-911.93,-142.73,122.97,145.34,157633.0,1.03,157633.0,157633.0
2025-11-13,762.83,-1808.05,354.36,216.43,474.43,157162.0,0.98,157162.0,157162.0
2025-11-14,1434.19,-1009.84,-143.23,-441.3,160.18,157739.0,1.81,157739.0,157739.0
2025-11-17,715.13,-1039.33,79.26,137.44,107.51,156993.0,0.85,156993.0,156993.0
2025-11-18,1234.94,-1619.98,-5.22,293.23,97.04,156522.0,1.5,156522.0,156522.0
2025-11-19,1354.63,-1631.13,116.05,83.74,76.72,155381.0,1.61,155381.0,155381.0
2025-11-21,-3158.55,2938.72,-734.43,904.71,49.56,154770.0,-3.88,154770.0,154770.0
2025-11-24,-750.69,386.58,339.33,-20.78,45.56,155278.0,-1.01,155278.0,155278.0
2025-11-25,-516.46,358.48,59.8,40.49,57.69,155910.0,-0.71,155910.0,155910.0
2025-11-26,-76.23,445.13,-478.9,81.47,28.52,158555.0,-0.18,158555.0,158555.0
2025-11-27,-279.4,192.45,150.68,-30.94,-32.79,158292.0,-0.42,158292.0,158292.0
2025-11-28,-495.67,-826.83,42.28,1109.63,170.58,159072.0,-0.67,159072.0,159072.0
2025-12-01,-76.92,-915.74,125.1,747.88,119.69,158611.0,-0.18,158611.0,158611.0
2025-12-02,388.22,-247.45,-358.35,196.1,21.48,161092.0,0.37,161092.0,161092.0
2025-12-03,-171.96,388.46,-77.52,50.94,-189.92,161755.0,-0.3,161755.0,161755.0
2025-12-04,149.97,39.37,-361.18,90.63,81.2,164456.0,0.08,164456.0,164456.0
2025-12-05,-2018.74,637.54,1121.05,80.47,179.67,157369.0,-2.41,157369.0,157369.0
2025-12-08,666.87,-1411.15,473.06,239.64,31.57,158187.0,0.68,158187.0,158187.0
2025-12-09,-1318.08,865.31,292.61,84.47,75.69,157981.0,-1.58,157981.0,157981.0
2025-12-10,122.51,-37.15,143.22,-242.47,13.9,159075.0,0.07,159075.0,159075.0
2025-12-11,-916.97,243.88,262.92,434.89,-24.73,159189.0,-1.12,159189.0,159189.0
2025-12-12,690.53,-483.63,-79.12,-96.24,-31.54,160766.0,0.71,160766.0,160766.0
2025-12-15,-635.14,1271.51,6.93,866.67,-1509.97,162482.0,-0.8,162482.0,162482.0
2025-12-16,1469.09,-789.85,816.47,-1512.06,16.36,158578.0,1.56,158578.0,158578.0
2025-12-17,-330.07,-159.3,341.48,36.41,111.48,157327.0,-0.45,157327.0,157327.0
2025-12-18,1528.73,-586.06,138.0,-1292.72,212.05,157923.0,1.63,157923.0,157923.0
